top - 10:59:01 up 12:44,  1 user,  load average: 0.74, 0.54, 0.33
Tasks: 356 total,   1 running, 338 sleeping,  17 stopped,   0 zombie
%Cpu(s):  8.8 us,  4.4 sy,  0.0 ni, 80.9 id,  2.9 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    229.3 free,   5648.0 used,   2001.9 buff/cache
MiB Swap:   2048.0 total,   1940.1 free,    107.9 used.   1675.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    922 root      20   0  235696   6488   5844 S   0.0   0.1   0:00.03 switche+
    923 root      20   0   17024   7864   6860 S   0.0   0.1   0:01.34 systemd+
    924 root      20   0  125860   9368   8552 S   0.0   0.1   0:01.61 thermald
    925 root      20   0  393324  13132   9928 S   0.0   0.2   0:02.44 udisksd
    926 root      20   0   13664   4036   3444 S   0.0   0.1   0:00.07 wpa_sup+
    953 avahi     20   0    8320    316      0 S   0.0   0.0   0:00.00 avahi-d+
    959 root      20   0    8372   4544   4180 S   0.0   0.1   0:00.03 bluetoo+
    973 root      20   0    2548    872    820 S   0.0   0.0   0:00.01 syslogd
   1020 root      20   0  117800  20056  13820 S   0.0   0.2   0:00.08 unatten+
   1021 root      20   0  240036   9344   7600 S   0.0   0.1   0:00.16 ModemMa+
   1042 root      20   0  239588   8108   7336 S   0.0   0.1   0:00.04 gdm3
   1050 root      20   0  166760   8792   7664 S   0.0   0.1   0:00.02 gdm-ses+
   1088 gdm       20   0   19312   9608   8200 S   0.0   0.1   0:00.40 systemd
   1089 gdm       20   0  169416    872      0 S   0.0   0.0   0:00.00 (sd-pam)
   1095 gdm        9 -11  808096  11524  11196 S   0.0   0.1   0:00.40 pulseau+
   1097 gdm       39  19  585208  17352  15596 S   0.0   0.2   0:00.19 tracker+
   1098 gdm       20   0  163996   5856   5740 S   0.0   0.1   0:00.00 gdm-x-s+
   1100 root      20   0  221848  66476  41220 S   0.0   0.8   0:01.45 Xorg
   1103 gdm       20   0    7784   4396   3624 S   0.0   0.1   0:00.15 dbus-da+
   1104 rtkit     21   1  152916   2960   2728 S   0.0   0.0   0:00.23 rtkit-d+
   1111 gdm       20   0  239696   6568   6568 S   0.0   0.1   0:00.02 gvfsd
   1126 gdm       20   0  312800   5180   5180 S   0.0   0.1   0:00.00 gvfsd-f+
   1128 gdm       20   0  314032   8936   7588 S   0.0   0.1   0:00.79 gvfs-ud+
   1138 gdm       20   0  235868   5332   5332 S   0.0   0.1   0:00.01 gvfs-go+
   1142 gdm       20   0  541588  28032  27728 S   0.0   0.3   0:00.13 goa-dae+
   1161 whoopsie  20   0  253112  14804  12968 S   0.0   0.2   0:00.07 whoopsie
   1175 kernoops  20   0   11240    428      0 S   0.0   0.0   0:00.51 kernelo+
   1177 kernoops  20   0   11240    448      0 S   0.0   0.0   0:00.50 kernelo+
   1188 gdm       20   0  314616   6804   6800 S   0.0   0.1   0:00.27 goa-ide+
   1190 gdm       20   0  235688   5068   4896 S   0.0   0.1   0:00.01 gvfs-mt+
   1197 gdm       20   0  316720   6440   6440 S   0.0   0.1   0:00.64 gvfs-af+
   1203 gdm       20   0  238092   5580   5500 S   0.0   0.1   0:00.01 gvfs-gp+
   1208 root      20   0  252252   9528   8152 S   0.0   0.1   0:00.58 upowerd
   1237 root      20   0 1059420   7636   6412 S   0.0   0.1   0:22.69 teamvie+
   1309 gdm       20   0  262396  13896  12228 S   0.0   0.2   0:00.02 gnome-s+
   1311 gdm       20   0  305400   5964   5964 S   0.0   0.1   0:00.01 at-spi-+
   1316 gdm       20   0    7216   3792   3580 S   0.0   0.0   0:00.01 dbus-da+
   1324 gdm       20   0   90040   3948   3948 S   0.0   0.0   0:00.00 gnome-s+
   1333 gdm       20   0  240020   5004   5004 S   0.0   0.1   0:00.00 gnome-k+
   1339 gdm       20   0  483984  13456  12688 S   0.0   0.2   0:00.09 gnome-s+
   1346 gdm       20   0 3804136 156660  77576 S   0.0   1.9   0:09.63 gnome-s+
   1357 gdm       20   0  310800   7956   6588 S   0.0   0.1   0:00.06 ibus-da+
   1360 gdm       20   0  162564   6940   6320 S   0.0   0.1   0:00.00 ibus-me+
   1363 gdm       20   0  197784  26364  16628 S   0.0   0.3   0:00.18 ibus-x11
   1368 gdm       20   0  236364   7164   6512 S   0.0   0.1   0:00.00 ibus-po+
   1372 gdm       20   0  162884   6380   5748 S   0.0   0.1   0:00.00 at-spi2+
   1381 gdm       20   0  156092   5368   4860 S   0.0   0.1   0:00.00 dconf-s+
