              total        used        free      shared  buff/cache   available
Mem:           7879        5184         317         234        2377        2163
Swap:          2047          59        1988
top - 09:38:50 up 11:24,  1 user,  load average: 0.32, 0.41, 0.47
Tasks: 360 total,   1 running, 343 sleeping,  16 stopped,   0 zombie
%Cpu(s): 13.0 us,  4.3 sy,  0.0 ni, 79.7 id,  0.0 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    310.2 free,   5186.7 used,   2382.2 buff/cache
MiB Swap:   2048.0 total,   1988.9 free,     59.1 used.   2156.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    866 root      20   0  238504   7852   6736 S   0.0   0.1   0:00.26 account+
    868 root      20   0    2540    764    696 S   0.0   0.0   0:01.79 acpid
    871 avahi     20   0    8504   3204   2876 S   0.0   0.0   0:00.41 avahi-d+
    873 root      20   0    9412   3032   2772 S   0.0   0.0   0:00.01 cron
    875 message+  20   0   10124   6840   3852 S   0.0   0.1   0:02.60 dbus-da+
    876 root      20   0  335920  19456  16404 S   0.0   0.2   0:01.51 Network+
    882 root      20   0   81876   3600   3272 S   0.0   0.0   0:00.64 irqbala+
    883 root      20   0   39268  19124  11664 S   0.0   0.2   0:00.09 network+
    896 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    897 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    898 root      20   0       0      0      0 S   0.0   0.0   0:01.70 usb-sto+
    904 root      20   0  241052  10936   7096 S   0.0   0.1   0:01.75 polkitd
    922 root      20   0  235696   6532   5864 S   0.0   0.1   0:00.03 switche+
    923 root      20   0   17024   7864   6860 S   0.0   0.1   0:01.16 systemd+
    924 root      20   0  125860   9840   9012 S   0.0   0.1   0:01.13 thermald
    925 root      20   0  393324  13528  10212 S   0.0   0.2   0:01.71 udisksd
    926 root      20   0   13664   4548   3956 S   0.0   0.1   0:00.04 wpa_sup+
    953 avahi     20   0    8320    328      0 S   0.0   0.0   0:00.00 avahi-d+
    959 root      20   0    8372   4660   4296 S   0.0   0.1   0:00.03 bluetoo+
    973 root      20   0    2548    924    872 S   0.0   0.0   0:00.01 syslogd
   1020 root      20   0  117800  21436  14312 S   0.0   0.3   0:00.08 unatten+
   1021 root      20   0  240036  10244   8500 S   0.0   0.1   0:00.16 ModemMa+
   1042 root      20   0  239588   8296   7356 S   0.0   0.1   0:00.04 gdm3
   1050 root      20   0  166760   8812   7684 S   0.0   0.1   0:00.02 gdm-ses+
   1088 gdm       20   0   19312   9624   8200 S   0.0   0.1   0:00.36 systemd
   1089 gdm       20   0  169416   1864      0 S   0.0   0.0   0:00.00 (sd-pam)
   1095 gdm        9 -11  808096  13128  12800 S   0.0   0.2   0:00.40 pulseau+
   1097 gdm       39  19  585208  22960  15972 S   0.0   0.3   0:00.19 tracker+
   1098 gdm       20   0  163996   5964   5848 S   0.0   0.1   0:00.00 gdm-x-s+
   1100 root      20   0  221848  74020  46160 S   0.0   0.9   0:01.41 Xorg
   1103 gdm       20   0    7784   4404   3628 S   0.0   0.1   0:00.15 dbus-da+
   1104 rtkit     21   1  152916   2960   2728 S   0.0   0.0   0:00.16 rtkit-d+
   1111 gdm       20   0  239696   6680   6680 S   0.0   0.1   0:00.02 gvfsd
   1126 gdm       20   0  312800   5316   5316 S   0.0   0.1   0:00.00 gvfsd-f+
   1128 gdm       20   0  314032   9056   7708 S   0.0   0.1   0:00.62 gvfs-ud+
   1138 gdm       20   0  235868   5492   5492 S   0.0   0.1   0:00.01 gvfs-go+
   1142 gdm       20   0  541588  28796  28480 S   0.0   0.4   0:00.13 goa-dae+
   1161 whoopsie  20   0  253112  15020  13132 S   0.0   0.2   0:00.07 whoopsie
   1175 kernoops  20   0   11240    444      0 S   0.0   0.0   0:00.33 kernelo+
   1177 kernoops  20   0   11240    448      0 S   0.0   0.0   0:00.32 kernelo+
   1188 gdm       20   0  314616   8268   7224 S   0.0   0.1   0:00.26 goa-ide+
   1190 gdm       20   0  235688   5612   4976 S   0.0   0.1   0:00.01 gvfs-mt+
   1197 gdm       20   0  316720   7540   6696 S   0.0   0.1   0:00.43 gvfs-af+
   1203 gdm       20   0  238092   6308   5572 S   0.0   0.1   0:00.01 gvfs-gp+
   1208 root      20   0  252252   9836   8460 S   0.0   0.1   0:00.58 upowerd
   1237 root      20   0 1059420   9700   8464 S   0.0   0.1   0:15.17 teamvie+
   1309 gdm       20   0  262396  14012  12344 S   0.0   0.2   0:00.02 gnome-s+
   1311 gdm       20   0  305400   6572   5996 S   0.0   0.1   0:00.01 at-spi-+
   1316 gdm       20   0    7216   4052   3584 S   0.0   0.1   0:00.01 dbus-da+
   1324 gdm       20   0   90040   4368   3952 S   0.0   0.1   0:00.00 gnome-s+
   1333 gdm       20   0  240020   6064   5224 S   0.0   0.1   0:00.00 gnome-k+
   1339 gdm       20   0  483984  15080  12804 S   0.0   0.2   0:00.09 gnome-s+
